sku,brand,model,title,category,msrp,retail_ref,retail_ref_source,retail_ref_date,acquisition_cost,condition,ask_price,floor_price,serial,location,status,notes
11111,Frigidaire,FRSS2623ASW,25.6 cu. ft. Side-by-Side Refrigerator,Refrigerator,1399.0,1099.0,Home Depot,2026-09-03,,,,,,,RECEIVED,
11112,Frigidaire,FRAE2024AW,20 cu. ft. Garage-Ready Freezerless Refrigerator,Refrigerator,1149.0,1029.0,Home Depot,2026-09-03,,,,,,,RECEIVED,
11113,KitchenAid,KRFC536SPS01,23.1 cu. ft. Counter-Depth French Door Refrigerator,Refrigerator,4199.0,3199.0,Home Depot,2026-09-03,,,,,,,RECEIVED,
11114,Bosch,SHP65DC5N,500 Series 24 in. Top-Control Dishwasher,Dishwasher,1499.0,1299.0,Best Buy,2026-09-03,,,,,,,RECEIVED,
11115,Bosch,SHE53DC5N,300 Series 24 in. Front-Control Dishwasher,Dishwasher,1199.0,999.0,Best Buy,2026-09-03,,,,,,,RECEIVED,
11116,Bosch,SHE53CE5N,"300 Series 24 in. Front-Control Dishwasher, 46 dBA",Dishwasher,1119.0,999.0,Best Buy,2026-09-03,,,,,,,RECEIVED,
11117,Samsung,RF32CG5B10SRAA,31 cu. ft. Mega-Capacity 3-Door French Door Refrigerator,Refrigerator,2399.0,1799.0,Best Buy,2026-09-03,,,,,,,RECEIVED,
11118,LG,LRONC0605V,6.0 cu. ft. Compact Refrigerator with Top Freezer,Refrigerator,499.0,389.99,Costco,2026-09-03,,,,,,,RECEIVED,
11119,Midea,MRT21D3BST,20.5 cu. ft. Garage-Ready Top-Freezer Refrigerator,Refrigerator,699.0,629.99,Costco,2026-09-03,,,,,,,RECEIVED,
11120,Midea,MRB23D5AST,22.8 cu. ft. Counter-Depth Bottom-Freezer Refrigerator,Refrigerator,1199.0,999.99,Costco,2026-09-03,,,,,,,RECEIVED,
11121,Midea,MRQ23B4AST,22.5 cu. ft. Counter-Depth 4-Door Refrigerator,Refrigerator,1699.0,1399.99,Costco,2026-09-03,,,,,,,RECEIVED,
11122,Midea,MRB19B7AST,18.7 cu. ft. Bottom-Freezer Refrigerator,Refrigerator,999.0,749.99,Costco,2026-09-03,,,,,,,RECEIVED,
11123,Midea,MRB19B7AST,18.7 cu. ft. Bottom-Freezer Refrigerator,Refrigerator,999.0,749.99,Costco,2026-09-03,,,,,,,RECEIVED,
11124,Midea,MRF23I5AST,22.6 cu. ft. Counter-Depth French Door Refrigerator,Refrigerator,1299.0,999.99,Costco,2026-09-03,,,,,,,RECEIVED,
11125,Midea,MRT21D3BWW,"20.5 cu. ft. Garage-Ready Top-Freezer Refrigerator, White",Refrigerator,679.0,629.99,Costco,2026-09-03,,,,,,,RECEIVED,
11126,Unknown,VERIFY FROM MANIFEST,Model not readable from photo,Refrigerator,,,,2026-09-03,,,,,,,RECEIVED,VERIFY FROM MANIFEST
11127,LG,LRFLC2716S,26.5 cu. ft. Counter-Depth MAX French Door Refrigerator,Refrigerator,3199.99,1899.99,Best Buy,2026-09-03,,,,,,,RECEIVED,
11128,LG,LRFLC2716S,26.5 cu. ft. Counter-Depth MAX French Door Refrigerator,Refrigerator,3199.99,1899.99,Best Buy,2026-09-03,,,,,,,RECEIVED,
11129,LG,LCFS22EXS/02,22 cu. ft. French Door Refrigerator,Refrigerator,1999.0,,Costco,2026-09-03,,,,,,,RECEIVED,
11130,LG,LRFLC2716S,26.5 cu. ft. Counter-Depth MAX French Door Refrigerator,Refrigerator,3199.99,1899.99,Best Buy,2026-09-03,,,,,,,RECEIVED,
11131,LG,LRFLC2716S,26.5 cu. ft. Counter-Depth MAX French Door Refrigerator,Refrigerator,3199.99,1899.99,Best Buy,2026-09-03,,,,,,,RECEIVED,
11132,Mora,MRT180N6AWD,18 cu. ft. Top-Freezer Refrigerator,Refrigerator,749.99,649.99,Costco,2026-09-03,,,,,,,RECEIVED,
11133,Mora,MRT180N6AWD,18 cu. ft. Top-Freezer Refrigerator,Refrigerator,749.99,649.99,Costco,2026-09-03,,,,,,,RECEIVED,
11134,Mora,MRT180N6AWD,18 cu. ft. Top-Freezer Refrigerator,Refrigerator,749.99,649.99,Costco,2026-09-03,,,,,,,RECEIVED,
11135,LG,LRFLS3216S/03,31.7 cu. ft. Standard-Depth MAX French Door Refrigerator,Refrigerator,2999.99,1899.99,Costco,2026-09-03,,,,,,,RECEIVED,
11136,LG,LRSVS2706S,27 cu. ft. InstaView Door-in-Door Side-by-Side Refrigerator,Refrigerator,2543.0,1849.99,Costco,2026-09-03,,,,,,,RECEIVED,
11137,LG,LRSVS2706S,27 cu. ft. InstaView Door-in-Door Side-by-Side Refrigerator,Refrigerator,2543.0,1849.99,Costco,2026-09-03,,,,,,,RECEIVED,
11138,LG,LTCS20020V,20 cu. ft. Top-Freezer Refrigerator,Refrigerator,988.0,899.0,Home Depot,2026-09-03,,,,,,,RECEIVED,
11139,LG,LTCS20020V/02,20 cu. ft. Top-Freezer Refrigerator,Refrigerator,988.0,899.0,Home Depot,2026-09-03,,,,,,,RECEIVED,
11140,Bosch,B36CL80SNS,800 Series 21 cu. ft. Counter-Depth 4-Door French Door Refrigerator,Refrigerator,4149.0,3729.0,Home Depot,2026-09-03,,,,,,,RECEIVED,
11141,Samsung,DW90F89T0USRAA,"24 in. Bespoke Smart Dishwasher, 38 dBA, 3rd Rack",Dishwasher,1169.99,999.99,Best Buy,2026-09-03,,,,,,,RECEIVED,
11142,Samsung,RS23A500ASR/AA,23 cu. ft. Counter-Depth Side-by-Side Smart Refrigerator,Refrigerator,1449.99,1014.99,Best Buy,2026-09-03,,,,,,,RECEIVED,
